#OTU_ID,taxonomy,Order,EB01,T1-A1,T1-A2,T1-A3,T2-A1,T2-A2,T2-A3,S1-A1,S1-A2,S1-A3,S2-A1,S2-A2,S2-A3,S3-A1,S3-A2,S3-A3,S4-A1,S4-A2,S4-A3,S5-A1,S5-A2,S5-A3,EB02,S1-B1,S1-B2,S1-B3,S2-B1,S2-B2,S2-B3,S3-B1,S3-B2,S3-B3,S4-B1,S4-B2,S4-B3,S5-B1,S5-B2,S5-B3,EB03,T1-B1,T1-B2,T1-B3,T2-B1,T2-B2,T2-B3,EB04,NC01,NC02,NC03,NC04,NC05,NC06,NC07,PC01,PC02,PC03,PC04,PC05,PC06,PC07
Nemurella_pictetii,d__Eukaryota; p__Arthropoda; c__Insecta; o__Plecoptera; f__Nemouridae; g__Nemurella; s__Nemurella_pictetii,Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protonemura_meyeri,d__Eukaryota; p__Arthropoda; c__Insecta; o__Plecoptera; f__Nemouridae; g__Protonemura; s__Protonemura_meyeri,Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinocras_cephalotes,d__Eukaryota; p__Arthropoda; c__Insecta; o__Plecoptera; f__Perlidae; g__Dinocras; s__Dinocras_cephalotes,Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoperla_grammatica,d__Eukaryota; p__Arthropoda; c__Insecta; o__Plecoptera; f__Perlodidae; g__Isoperla; s__Isoperla_grammatica,Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyptera_risi,d__Eukaryota; p__Arthropoda; c__Insecta; o__Plecoptera; f__Taeniopterygidae; g__Brachyptera; s__Brachyptera_risi,Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beraea_pullata,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Beraeidae; g__Beraea; s__Beraea_pullata,Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silo_pallipes,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Goeridae; g__Silo; s__Silo_pallipes,Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydroptila_lotensis,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Hydroptilidae; g__Hydroptila; s__Hydroptila_lotensis,Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunoecia_irrorata,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Lepidostomatidae; g__Crunoecia; s__Crunoecia_irrorata,Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidostoma_hirtum,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Lepidostomatidae; g__Lepidostoma; s__Lepidostoma_hirtum,Trichoptera,0,0,0,0,0,0,0,38,0,0,0,0,0,448,43,0,110,0,154,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,132,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athripsodes_albifrons,d__Eukaryota; p__Arthropoda; c__Insecta; o__Trichoptera; f__Leptoceridae; g__Athripsodes; s__Athripsodes_albifrons,Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
